Дата,Сообщение
2022-09-23T03:00:00.000+03:00,"🎨 DRAW CHECK bar=148: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-24T03:00:00.000+03:00,"🎨 DRAW CHECK bar=149: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-25T03:00:00.000+03:00,"🎨 DRAW CHECK bar=150: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-26T03:00:00.000+03:00,"🎨 DRAW CHECK bar=151: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-27T03:00:00.000+03:00,"🎨 DRAW CHECK bar=152: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-28T03:00:00.000+03:00,"🎨 DRAW CHECK bar=153: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-29T03:00:00.000+03:00,"🎨 DRAW CHECK bar=154: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-09-30T03:00:00.000+03:00,"🎨 DRAW CHECK bar=155: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-10-01T03:00:00.000+03:00,"🔺 NEW HIGH CHECK: high=0.578 > maxForComparison=0.492, wick=0.942%, threshold=15%"
2022-10-01T03:00:00.000+03:00,"🔍 Found best MAX: bar=156, price=0.578, barsSearched=126"
2022-10-01T03:00:00.000+03:00,"⏳ PENDING MAX: price=0.578, bar=156, waiting for 0.618 touch"
2022-10-01T03:00:00.000+03:00,"🎨 DRAW CHECK bar=156: showFibLines=true, canBuild=true, needsRedraw=true, drawnCycleId=1, currentCycleId=1"
2022-10-01T03:00:00.000+03:00,"📦 BOX CREATE: startBar=156, endBar=156, cycle=1, minBar=30, valid=1"
2022-10-01T03:00:00.000+03:00,"✅ BOXES CREATED: bar=156, fib_1=0.578, fib_0=0.125"
2022-10-02T03:00:00.000+03:00,"🎨 DRAW CHECK bar=157: showFibLines=true, canBuild=true, needsRedraw=false, drawnCycleId=1, currentCycleId=1"
2022-10-03T03:00:00.000+03:00,"🔺 NEW HIGH CHECK: high=0.61 > maxForComparison=0.578, wick=1.345%, threshold=15%"
2022-10-03T03:00:00.000+03:00,"🔍 Found best MAX: bar=158, price=0.61, barsSearched=128"
2022-10-03T03:00:00.000+03:00,"⏳ PENDING MAX: price=0.61, bar=158, waiting for 0.618 touch"
2022-10-03T03:00:00.000+03:00,"🎨 DRAW CHECK bar=158: showFibLines=true, canBuild=true, needsRedraw=true, drawnCycleId=1, currentCycleId=1"
2022-10-03T03:00:00.000+03:00,"📦 BOX CREATE: startBar=158, endBar=158, cycle=1, minBar=30, valid=1"
2022-10-03T03:00:00.000+03:00,"✅ BOXES CREATED: bar=158, fib_1=0.61, fib_0=0.125"
2022-10-04T03:00:00.000+03:00,"🔺 NEW HIGH CHECK: high=0.629 > maxForComparison=0.61, wick=0.979%, threshold=15%"
